Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AXP,AXP,AXP,AXP,AXP,AXP
Date,,,,,,
2022-12-12,153.18312072753906,157.30999755859375,157.75999450683594,154.0,154.25999450683594,2773900
2022-12-13,153.38760375976562,157.52000427246094,161.5500030517578,156.16000366210938,160.6199951171875,3110500
2022-12-14,150.06707763671875,154.11000061035156,158.6199951171875,153.83999633789062,157.57000732421875,3556200
2022-12-15,146.2791290283203,150.22000122070312,152.27999877929688,146.47000122070312,151.64999389648438,4282200
2022-12-16,142.46194458007812,146.3000030517578,148.58999633789062,144.14999389648438,148.58999633789062,4510600
2022-12-19,141.20579528808594,145.00999450683594,146.74000549316406,143.66000366210938,146.0399932861328,2546000
2022-12-20,141.87770080566406,145.6999969482422,146.5,144.25,144.99000549316406,1607800
2022-12-21,143.24098205566406,147.10000610351562,147.77999877929688,146.3699951171875,147.05999755859375,2107100
2022-12-22,141.49794006347656,145.30999755859375,146.6999969482422,142.72000122070312,146.0500030517578,2901100
2022-12-23,143.1630859375,147.02000427246094,147.13999938964844,144.52000427246094,145.22999572753906,1671800
2022-12-27,142.5496063232422,146.38999938964844,147.86000061035156,145.6699981689453,147.2899932861328,1858500
2022-12-28,140.23204040527344,144.00999450683594,146.82000732421875,143.94000244140625,146.2100067138672,1490200
2022-12-29,143.4552001953125,147.32000732421875,147.6199951171875,144.39999389648438,145.0800018310547,1758500
2022-12-30,143.87391662597656,147.75,147.92999267578125,145.72999572753906,146.00999450683594,2247200
2023-01-03,143.26043701171875,147.1199951171875,150.4499969482422,145.72999572753906,149.5399932861328,2762200
2023-01-04,146.59071350097656,150.5399932861328,151.9600067138672,148.55999755859375,148.55999755859375,2620400
2023-01-05,143.08279418945312,146.42999267578125,148.72000122070312,146.02000427246094,147.16000366210938,2505700
2023-01-06,146.73728942871094,150.1699981689453,150.42999267578125,145.47999572753906,147.74000549316406,3077400
2023-01-09,146.9620361328125,150.39999389648438,152.4499969482422,150.10000610351562,151.35000610351562,3219400
